model,experiment,years,GMTemp,DMI mean,DMI stddev,Nino34 stddev,TIO mean,IOBM,DMI AnnCycAmp,EEIO mean,EEIO stddev,SASmonsoon area mean,SASmonsoon rain mean,SASmonsoon area stddev,SASmonsoon rain stddev,SAS rain ann,SAS rain jja,SAS rain djf,SAS rain jja stddev,SAS rain djf stddev,r(nino34.iod),r(iod.iobm),r(iod.eeio)
MIROC-ESM,midHolocene-cal-adj,99,13.4012,-1.07115,0.312618,0.403423,26.7531,0.16435,1.41154,27.9226,0.210214,2.34227e+06,7.38215,175985,0.383529,3.56547,1.18899,3.55693,0.239916,0.291186,-0.0716687,0.231753,-0.295779
MIROC-ESM,piControl,629,13.5989,-1.11836,0.344251,0.469531,27.1255,0.197545,1.73219,28.3416,0.251869,2.29135e+06,7.85542,141812,0.358053,3.4287,1.38228,3.60193,0.33258,0.33792,0.00995562,0.155105,-0.276916
MPI-ESM-P,abrupt4xCO2,149,19.3522,-0.0441668,0.708537,1.18833,31.9248,0.336566,1.57701,32.7618,0.465356,3.55644e+06,8.51341,345726,0.621626,2.67745,1.04521,3.36112,0.320953,0.441363,0.330345,0.316676,-0.380281
MPI-ESM-P,lgm-cal-adj,99,9.22842,-0.579952,0.408645,0.789227,25.005,0.279852,2.35276,26.176,0.320185,3.32505e+06,5.72511,231917,0.267059,2.19162,1.09803,1.91008,0.295291,0.321711,0.267553,0.437433,0.300776
MPI-ESM-P,midHolocene-cal-adj,99,13.4629,-0.68779,0.629133,0.665354,26.7586,0.238751,1.46716,27.749,0.318343,3.22942e+06,6.25602,255127,0.369026,2.80627,1.13648,2.9313,0.266931,0.336252,0.299439,0.152378,-0.31889
MPI-ESM-P,piControl,1155,13.644,-0.794155,0.534669,0.757,27.1021,0.273479,1.9104,28.1154,0.314139,3.36488e+06,6.82075,295437,0.372445,2.5268,1.10558,2.48245,0.303763,0.364858,0.333987,0.403741,0.151371
MPI-ESM1-2-LR,abrupt4xCO2,149,18.4086,-0.497712,0.547401,0.9726,30.6329,0.270533,1.7346,31.7517,0.339881,3.61504e+06,8.55108,339973,0.460366,3.11362,1.19553,3.75653,0.406933,0.390721,0.481703,0.425268,0.0648494
MPI-ESM1-2-LR,lig127k-cal-adj,99,13.5735,-0.594594,0.679998,0.599467,26.689,0.239041,1.21474,27.7841,0.458968,3.78572e+06,7.93256,156476,0.370653,3.34203,1.51487,3.4644,0.296189,0.364547,0.0812024,-0.242015,-0.63667
MPI-ESM1-2-LR,midHolocene-cal-adj,499,13.2318,-0.898723,0.53732,0.660445,26.4142,0.239016,1.67163,27.6161,0.330263,3.6094e+06,7.13679,251217,0.353356,2.59836,0.957583,2.90876,0.227648,0.327637,0.136171,0.142356,-0.0536787
MPI-ESM1-2-LR,piControl,999,13.5333,-0.995057,0.48498,0.795756,26.7902,0.271074,1.97872,27.9791,0.349111,3.35893e+06,7.50575,270026,0.41533,2.3826,0.908865,2.4212,0.276106,0.334809,0.213858,0.261114,0.145754
MRI-CGCM3,abrupt4xCO2,149,17.9053,0.394241,0.355149,0.875352,30.8516,0.212143,1.30385,31.2749,0.317384,2.50576e+06,10.3626,287926,0.91465,2.2539,1.44362,2.49083,0.2554,0.572498,0.446913,-0.00685133,-0.452544
MRI-CGCM3,lgm-cal-adj,99,8.90489,0.297335,0.42509,0.57653,24.7894,0.189866,1.70993,25.3976,0.286902,2.09196e+06,7.69099,158821,0.534249,1.10104,0.452961,1.24554,0.125079,0.254281,0.268309,0.0399463,-0.505625
MRI-CGCM3,midHolocene-cal-adj,99,13.6235,0.381958,0.359148,0.666212,26.954,0.183484,1.67611,27.4351,0.355105,2.42322e+06,8.44314,299322,0.700152,1.89779,0.633983,2.17521,0.155457,0.365935,0.432219,0.0230487,-0.630461
MRI-CGCM3,piControl,499,13.5892,0.180089,0.350015,0.601436,27.3139,0.185344,1.60746,27.9204,0.290561,2.07536e+06,9.75794,226924,0.838005,1.59869,0.82532,1.75597,0.21088,0.361809,0.361586,0.0871739,-0.43229
MRI-ESM2-0,abrupt4xCO2,149,18.535,0.64854,0.405232,1.0666,31.5892,0.230264,2.18883,32.0235,0.416844,2.57711e+06,9.09927,291323,0.705885,2.77988,1.74045,2.87237,0.281143,0.559313,0.291851,0.0324621,-0.425628
MRI-ESM2-0,midHolocene-cal-adj,199,13.6988,0.577674,0.423545,0.710275,27.2824,0.196373,2.21331,27.7363,0.427041,2.99716e+06,9.02703,252358,0.533797,2.59944,1.14008,2.96419,0.240143,0.46267,0.388075,-0.139809,-0.620957
MRI-ESM2-0,piControl,700,13.8211,0.468594,0.583467,0.904119,27.7424,0.222576,1.99689,28.3094,0.517421,2.76602e+06,9.0775,300182,0.676067,2.41545,1.29554,2.31937,0.281651,0.397973,0.383197,-0.166198,-0.690751
NESM3,abrupt4xCO2,149,20.673,0.312201,0.499628,0.712287,32.1517,0.239542,2.00007,32.6734,0.427674,3.54083e+06,11.773,160195,0.547111,4.23964,1.52766,6.3763,0.42375,0.640563,0.250296,-0.061962,-0.612923
NESM3,lig127k-cal-adj,99,14.0017,0.306844,0.440248,0.535736,27.0363,0.235185,2.40775,27.4752,0.390763,3.95676e+06,10.7535,142712,0.454109,3.74441,1.35318,4.93037,0.333313,0.423801,0.0150512,0.00609881,-0.455648
NESM3,midHolocene-cal-adj,99,13.5297,0.19724,0.446912,0.63062,26.6405,0.234331,2.2686,27.2714,0.362492,3.39585e+06,9.40269,186550,0.453602,3.13763,0.945205,4.33614,0.238729,0.416821,0.154457,-0.0162166,-0.485922
NESM3,piControl,99,13.7292,0.136721,0.49988,0.695554,26.9758,0.244301,1.87674,27.6917,0.379956,3.39717e+06,10.2471,169754,0.458044,3.0878,1.1386,3.81982,0.328739,0.428746,0.198437,0.0384512,-0.442649
NorESM1-F,lig127k-cal-adj,199,14.387,-0.0620981,0.330971,0.474652,27.483,0.176473,1.73528,28.2288,0.321869,3.56227e+06,8.42285,218596,0.547423,4.11368,1.14502,4.40615,0.241536,0.442428,0.194809,-0.151094,-0.480993
NorESM1-F,midHolocene-cal-adj,199,14.2065,0.00841286,0.364197,0.538011,27.5638,0.170274,1.3506,28.4098,0.322671,3.07329e+06,7.8721,284589,0.601721,3.62172,1.04,4.15372,0.205954,0.494376,0.42875,-0.0767525,-0.554733
NorESM1-F,piControl,199,14.5066,-0.142199,0.414854,0.598274,27.8518,0.192076,0.926319,28.7761,0.308158,3.04532e+06,8.43897,305248,0.587654,3.59805,1.24855,3.83076,0.308992,0.542295,0.391382,0.00281429,-0.431125
NorESM2-LM,abrupt4xCO2,149,19.5111,-0.265488,0.488953,1.72783,32.4361,0.394123,1.24571,33.5643,0.433188,3.05384e+06,8.45733,434666,0.78436,3.26154,0.985797,3.7107,0.263628,1.06311,0.429019,0.235844,-0.062682
NorESM2-LM,lig127k-cal-adj,99,14.526,-0.866023,0.594654,1.24855,28.2347,0.288345,1.08265,29.5236,0.42916,3.64268e+06,8.49719,286039,0.800158,3.42671,1.04097,3.78455,0.201867,1.01735,0.393653,0.201451,0.16208
NorESM2-LM,midHolocene-cal-adj,99,14.3075,-0.990674,0.565511,1.47751,28.1033,0.333374,1.26966,29.3879,0.444251,3.26657e+06,7.90602,385559,0.694561,2.75718,0.894093,2.9208,0.19165,0.759172,0.474825,0.466653,0.44108
NorESM2-LM,piControl,390,14.466,-1.10548,0.491317,1.27502,28.4334,0.284314,1.37142,29.6609,0.404535,3.10967e+06,8.54277,387283,0.647793,2.42725,0.778124,2.32635,0.237244,0.656885,0.314696,0.368511,0.354705
UofT-CCSM-4,lgm-cal-adj,99,7.3376,-0.0507633,0.620467,0.631806,25.1363,0.211692,1.22349,26.2782,0.391136,2.31253e+06,7.67065,193663,0.349081,3.0425,1.4041,3.20134,0.346981,0.471741,0.420618,0.257482,-0.229737
UofT-CCSM-4,midHolocene-cal-adj,99,12.5041,0.076723,0.451221,0.605582,26.8916,0.201354,2.41072,27.6793,0.385738,2.46585e+06,8.35719,181719,0.505998,3.53778,1.09594,4.18033,0.310361,0.391048,0.484984,-0.0824014,-0.652637
UofT-CCSM-4,piControl,99,12.6076,-0.214993,0.522256,0.768866,27.2764,0.20504,1.32884,28.2016,0.336472,2.2958e+06,8.64691,167571,0.487147,3.63927,1.51943,4.03955,0.471142,0.459011,0.465509,0.133297,-0.381521
